dlabel,mlabel,olabel,depth,material,orientation,Alcyonidium_gelatinosum,Amphipoda_sp,Anomia_ephippium,Aplidium_elegans,Aplidium_sp,Ascidia_conchilega,Ascidia_mentula,Ascidia_virginea,Ascidiacea,Ascidian_sp1,Ascidiella_aspersa,Ascidiella_scabra,Austrominius_modestus,Balanus_crenatus,Barleeia_unifasciata,Botrylloides_leachii,Botrylloides_violaceus,Botryllus_schlosseri,Bryozoa,Caprella_acanthifera,Caprella_acanthogaster,Caprella_equilibra,Caprella_mutica,Caprella_sp,Ciona_intestinalis,Cirripedia,Colomstix_pulsila,Corallina_officinalis,Corella_eumyota,Corophidae_sp,Corophium_bonnelli,Corophium_multisetosum,Corophium_sp,Corophium_volutator,Crassicorophium_crassicorne,Crustacea_sp1,Cryptosula_pallasiana,Didemnum_vexillum,Dilsea_carnosa,Diplosoma_sp,Diplosoma_spongiforme,egg_1,egg_2,Ericthonius_sp,Gammaridae_sp,Gammarus_locusta,Gammarus_zaddachi,Haustoriidae,Hypoglossum_hypoglossoides,Iphimedia_minuta,Janua_heterostropha,Jassa_falcata,Leptoplana_tremellaris,Leptoplanidea_sp1,Leucothoe_incisa,Littorina_fabalis,Lomentaria_clavellosa,Melita_palmata,Microdeutopus_gryllotalpa,Microprotopus_maculatus,Molgula_manhattensis,Molgula_oculata,Molgula_socialis,Molgula_sp,Molgula_tubifera,Mytilus_edulis,Nematoda_sp,Nototropis_swammerdamei,Phaeophyceae_encrusing,Plagiostomum_vittatum,Platyhelminthes_sp,Pododesmus_patelliformis,Polycladida_sp,Polysiphonia_elongata,Polysiphonia_sp,Porphyra_sp,Pseudoparatanais_batei,Pseudoprotella_phasma,Rhodophyta_sp1,Rhodymenia_delicatula,Scrupocellaria_sp,Serpulidae_sp,Sp1,Spirobranchus lamarcki,Spirobranchus_triqueter,Stylostomum_ellipse,Tetrastemma,Tricellaria_inopinata,Ulva_lactuca,Ulva_sp,Watersipora_subtorquata
D6,P6,V4,Deep,Plastic,Vertical,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1
D7,S6,H8,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
D8,S7,V5,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
D9,S8,V6,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
S6,S9,H9,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0
S7,P7,H10,Shallow,Plastic,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,20,0,0,0
S8,P8,V7,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
S9,P9,V8,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
S10,S10,H11,Shallow,Slate,Horizontal,0,0,0,0,0,70,0,0,0,0,0,5,10,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1
S11,S11,V9,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,50,0,0,0
S12,P10,V10,Shallow,Plastic,Vertical,0,10,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,1
D10,P11,V11,Deep,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S13,S12,H12,Shallow,Slate,Horizontal,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
D11,P12,H13,Deep,Plastic,Horizontal,0,0,0,10,0,0,0,0,0,0,40,0,0,0,0,0,0,5,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
D12,P13,V12,Deep,Plastic,Vertical,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5
D13,P14,H14,Deep,Plastic,Horizontal,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D14,S13,V13,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50,0,0,0
S14,S14,V14,Shallow,Slate,Vertical,0,0,0,0,0,0,0,1,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
D15,S15,V15,Deep,Slate,Vertical,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S15,S16,V16,Shallow,Slate,Vertical,0,0,1,0,0,0,20,0,0,0,0,0,20,0,0,10,0,1,5,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,P15,H15,Deep,Plastic,Horizontal,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0
S16,P16,H16,Shallow,Plastic,Horizontal,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5
S17,P17,V17,Shallow,Plastic,Vertical,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
D17,S17,H17,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,70,0,1,5
S18,P18,H18,Shallow,Plastic,Horizontal,0,0,5,0,0,10,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0
D18,S18,V18,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
D19,S19,H19,Deep,Slate,Horizontal,0,0,0,0,0,50,0,0,0,0,30,0,5,0,0,30,0,10,0,0,0,0,0,0,30,0,0,0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
S19,S20,V19,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,25,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0
S20,S21,H20,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
S21,P19,H21,Shallow,Plastic,Horizontal,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
